[2011/11/23 16:49:27] CRITICAL CRITICAL  python error         
[2011/11/23 16:49:53] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 16:50:54] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 16:51:04] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 16:51:11] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 16:51:36] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 16:51:47] CRITICAL CRITICAL  python error         /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:00:15] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:07:37] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:08:59] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:11:03] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:17:32] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:20:02] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:20:55] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:21:55] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:22:46] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:23:39] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:24:44] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:25:41] INFO     SUCCESS   upload complete      /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:25:51] INFO     LIMIT     limit exceeded       /Users/bi2one/Desktop/packages/mobitle4.apk
[2011/11/23 17:32:27] INFO     LIMIT     limit exceeded       /Users/bi2one/Desktop/packages/mobitle603.apk
